kyu,waza,taijutsu,embeded,disco_tissier,otro
4,tachi waza,ryote dori shiho nage ura tachi osae ,,,
4,tachi waza,shomen uchi sankyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=AdzkakmGQqoDvgO2&amp;clip=UgkxDXfN8hxEl6aS7yA0qYrdaELamppjF5sk&amp;clipt=EIC1CBi_wAo"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=138,
4,tachi waza,shomen uchi sankyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/Lz1pEzkwfWU?si=t0-ySic8GOfvezJh&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=173,
4,tachi waza,yokomen uchi irimi nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=blVGYn-4YqzgGJZm&amp;clip=UgkxEfsq1kqOTaeG16Y3kcQ2cGJ_D_Dk6cZc&amp;clipt=EM3rRxjek0k"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=1177,
4,tachi waza,yokomen uchi shiho nage (tenkan) ura,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=J3BD5Z9q7sPlaVHk&amp;clip=UgkxoWfOfh60Sik8nea3PZuh09tozkMlM7JF&amp;clipt=EKzLIhjz4iM"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=566,
4,tachi waza,yokomen uchi shiho nage omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=1qaZoaFaZ0xYPmRj&amp;clip=Ugkx0tj04WQqD1xHFAaDUdYd-HZbvZGEDa0n&amp;clipt=EMiCIRjwxSI"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=541,
3,tachi waza,katate dori kaiten nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/F-V_gr4iOiM?si=rgwKTe98xSjpFFrG"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",,
3,tachi waza,katate dori kokyu nage antes de ser tomado,,,
3,tachi waza,katate dori shiho nage ura con tenkan,,,
3,tachi waza,shomen uchi kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=5bZXzAbjzsRHCCdN&amp;clip=Ugkxczs8DZLCInSioB6ENmiClV_dSPxc8dcQ&amp;clipt=EMStfBjh2n0"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=2037,
3,suwari waza,shomen uchi yonkyo omote,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=Xg9OXATN4-yQpFD6&amp;clip=Ugkxk8RAy5fpVdMZwJ6I93fqQUGq_jpAgxVl&amp;clipt=EMneHBigiR4"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=470,
3,tachi waza,shomen uchi yonkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/KWTFWqk-0i0?si=O-FizwJyIYm9r2xg&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=207,
3,suwari waza,shomen uchi yonkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=MTPl5r4QootIItj9&amp;clip=Ugkx9MRSa0EjO4_n6vwHgjU9f7uz3uzo4T2n&amp;clipt=EPKSHhjuzB8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=493,
3,tachi waza,shomen uchi yonkyo ura ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/xJrHxi67-AE?si=c4YTXXdiOyP4G0dI&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=235,
3,tachi waza,tsuki irimi nage,"<div class=""ratio ratio-16x9""><iframe <iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/MqGzpRO31wQ?si=iki8DcNOzdw7UNnB"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div",https://youtu.be/CIXkFct9OtA?t=1242,
3,tachi waza,tsuki kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/ZA3MyX2y-Rk?si=kixpzpvJJU9isaIK&amp;start=2"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=2107,
3,tachi waza,ushiro ryote dori kokyu nage ,,,
3,tachi waza,ushiro ryote dori shiho nage,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=cL2Dh00IPIPymk4J&amp;clip=UgkxuC5YtguMLPebnh2mF16zGGDhpjWQNPDV&amp;clipt=EOD1Khicvyw"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=702,
3,tachi waza,yokomen uchi kote gaeshi,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/CIXkFct9OtA?si=uyXQ1kEoqUecJdTT&amp;clip=Ugkx-dgmAdBJqEw7TiqZ9G-UcHjeDu-HxGjv&amp;clipt=EM_YfRijvYAB"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/CIXkFct9OtA?t=2082,
2,suwari waza,kata dori ikkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/M4NPROPtAaI?si=CwgxLzYe0KT48pfP&amp;start=12"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" referrerpolicy=""strict-origin-when-cross-origin"" allowfullscreen></iframe></div>",,
2,tachi waza,kata dori ikkyo omote ,"<div class=""ratio ratio-16x9""><iframe src=""https://www.youtube.com/embed/PV-BY95N5NI?si=Ta946MSLwVB5PmQv&amp;clip=UgkxYmtaVFA-CUaVQN-YarPIIZN0S__t4R41&amp;clipt=EIfiLRiw_y8"" title=""YouTube video player"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share"" allowfullscreen></iframe></div>",https://youtu.be/PV-BY95N5NI?t=750,
